beta1,beta2,beta3,alpha1,alpha2,alpha3,actual_beta1,actual_beta2,actual_beta3,actual_alpha1,actual_alpha2,actual_alpha3,x,y,z
-7.070704171830686,-12.19553180773336,-18.300727691660644,15.740507469019253,9.041135822426662,2.146584148523037,-5.312687,-11.182498,-17.302268,15.125039,8.666602,1.715119,-42.46655120849609,-8.877879238128662,-275.2659851074219
-3.322572314960629,-9.253869986062336,-10.33642827516337,16.45647095865068,24.409923439462933,2.570777795715569,-4.671833,-10.216966,-10.981109,16.106721,23.828889,2.06285,-19.577302551269533,22.456433296203613,-291.00523376464844
-0.2332658063657078,-2.65131648264078,-8.574267547645093,11.899030384405952,21.7554153169983,2.0758228464911244,-1.193265,-4.120513,-9.393551,12.309609,22.222814,2.046845,-13.817244720458984,14.325697135925292,-286.28818359375
-7.096572705183414,-12.342803934423042,-12.879880974276276,15.4718394755609,10.360638609982844,19.669182184080658,-5.054713,-11.292655,-12.157997,15.039676,10.78988,19.191952,-6.505094385147094,8.60250277519226,-330.4729339599609
-10.485163996306106,-12.581576465839808,-18.220837258507814,20.3677013154966,5.960418779892542,1.4265823159346702,-8.747804,-11.791028,-17.291284,19.914046,6.360528,1.951438,-49.69992985725403,6.910691595077514,-283.79698791503904
-4.996849640342077,-7.903471973904331,-11.4494294405951,19.597025706162427,24.79986267559408,13.46734323751207,-6.250432,-8.90858,-12.28824,19.889254,24.347973,13.076671,-12.751123714447022,32.761055088043214,-293.1721435546875
-0.9538017808318192,-4.934084750300327,-6.275788197671711,2.0953604199950213,20.97844164339829,11.905668621731207,-2.605531,-5.909554,-7.14491,2.442235,21.63029,12.43299,-0.854593588411808,2.458047926425934,-285.2352752685547
-5.98163910243427,-9.6014338434342,-15.379125496509976,22.310307020616776,20.141523203334444,13.14718175406425,-4.379023,-8.665356,-14.578307,21.941433,20.605613,12.723603,-18.91002085506916,22.896630036830903,-287.07537231445315
-3.2774934285836306,-9.11569758963708,-11.545839308425755,0.6081864846293623,0.5925699385403719,16.448491973682565,-4.004616,-8.657196,-12.474659,1.034676,1.052749,16.003512,-19.807905197143555,-10.76951723098755,-271.1916839599609
-3.3328639098905146,-9.112520415318729,-12.503353390016796,14.618816784112774,4.841906430992581,0.8788457210175455,-4.002419,-8.657196,-12.492548,14.056111,4.450831,1.268529,-24.52628288269043,-19.5642951965332,-294.3522918701172
-15.764916598300696,-17.41461686927159,-21.049625385324887,6.2361876873846365,24.0193820183153,20.764608484372328,-14.308222,-16.594616,-19.989968,6.629304,23.483668,20.396773,-58.299974060058595,-24.15833969116211,-271.21629028320314
-12.151053638641669,-15.679456314263316,-15.83081049777969,6.840277120893056,20.328204254090565,16.578937359353453,-13.215271,-16.234959,-16.733283,6.644996,20.942359,17.102256,-49.92217674255371,-18.234870529174806,-274.24517822265625
-7.210651099786652,-12.36637967827732,-17.48058972885387,24.818191744114163,20.16141462999936,21.788051179459853,-8.3599,-13.157475,-16.780044,24.226965,20.606241,21.421763,-32.571145629882814,33.43555889129639,-260.7132995605469
-0.8782901192047792,-6.426118702622484,-12.017512198802416,6.189350752506657,8.00885454151265,23.708978403364767,-2.965502,-7.416285,-12.896142,6.630245,8.384777,23.329265,-27.962614822387696,-9.46933717727661,-283.1078338623047
