beta1,beta2,beta3,alpha1,alpha2,alpha3,actual_beta1,actual_beta2,actual_beta3,actual_alpha1,actual_alpha2,actual_alpha3,x1,y1,z1,q01,qx1,qy1,qz1,error1,x2,y2,z2,q02,qx2,qy2,qz2,error2
-12.654511223054138,-19.102733411140296,-22.94086999768875,0.8376323531620582,1.0500861427170738,0.6021648053745388,-13.237553,-19.861201,-23.565997,0.52007,0.696462,0.361978,81.12138214111329,-69.91505432128906,-285.0188842773438,0.497331621853445,-0.4637332370789237,0.4722642085098659,-0.5608736578708923,0.8832392692565918,-54.84455633163452,-29.128233337402342,-233.05986633300782,0.4498351190816258,0.8075935492898183,0.3813673095406752,0.0,0.0
-14.021073231648222,-20.20559450385495,-23.03961518192861,0.2131448854600591,0.242583550685382,1.5490587719591966,-13.572417,-19.94939,-23.407823,0.431568,0.436918,1.24386,81.15570831298828,-69.91456451416016,-284.974609375,0.4991408704129908,-0.4630502049380319,0.4717824313052116,-0.5602358759504356,0.8791751861572266,-66.14952087402344,-32.438917541503905,-222.05437927246095,0.4580958580770999,0.828086751503265,0.3231416358152803,0.0,0.0
-14.778446475469956,-18.71049208892939,-19.546100297656093,2.443826759172401,0.5028302180143431,0.2451088886655329,-13.837923,-19.517235,-20.263319,2.109968,0.437546,0.540238,81.14593048095703,-69.90463562011719,-284.94635009765625,0.49944425283706295,-0.46161867613017005,0.47062014247564615,-0.5621212659667483,0.878716766834259,-54.9030029296875,-51.531874084472655,-231.81753845214843,0.6167568299302308,0.5999877297233219,0.5095348240462729,0.0,0.0
-14.83245397313843,-20.082412422144987,-24.91967137403361,3.302954623903297,1.4579251963843725,0.2426733848412024,-14.016183,-19.685767,-24.091673,2.910565,1.125163,0.362606,81.14929962158203,-69.92574920654297,-284.9897888183594,0.4922397297802409,-0.45691340087055116,0.4784172247982987,-0.5657270998874602,0.878125011920929,-69.15152206420899,-62.54332809448242,-228.355712890625,0.03183744748687976,0.5002823930347777,0.8652767789308323,0.0,0.0
-14.20261390465979,-16.58002511637145,-22.56424437568645,1.5314469067202965,0.1429349792106814,1.0179646049023103,-14.013987,-17.530477,-23.204456,1.93265,0.353438,0.798839,81.0923355102539,-69.94189453125,-284.9755493164063,0.49503666221288695,-0.461846336574475,0.4733348666381231,-0.5635519217272984,0.8861870765686035,-71.29205169677735,-48.64363174438476,-227.92774047851563,0.4965477332805572,0.6141255469677864,0.6134249433593792,0.0,0.0
-14.788092344582916,-18.60848128951728,-24.533078889479,1.9401342315470544,1.1793803543402477,0.9445505134237308,-14.179065,-17.926853,-23.822401,1.932336,0.953181,0.799467,81.12783813476562,-69.95416107177735,-284.9686584472656,0.5006873085962739,-0.4644020500351321,0.4706450953646225,-0.5586914614910555,0.8840987086296082,-72.89737091064453,-46.74410781860352,-227.09674987792968,0.42931305168890965,0.702663284938749,0.5674104437253885,0.0,0.0
-14.575989864007344,-17.731470705839055,-20.57616547488943,0.5828637888089898,1.544983531678021,0.8690220019779114,-14.102488,-17.851846,-21.284859,1.042608,1.299656,0.800094,81.19026641845703,-69.95384674072265,-284.98570556640624,0.5103232423872673,-0.4734328126946074,0.4564202359243795,-0.554176982905419,0.8837909698486328,-65.09249801635742,-39.33449783325195,-232.9194091796875,0.5397869688316526,0.7041946359694441,0.46123740411137365,0.0,0.0
-14.31401047166162,-18.72160335743685,-22.920568667680364,2.4966919488001103,2.097605972292393,0.2150396308369651,-14.185969,-18.10072,-22.231077,2.110281,1.732608,0.449852,81.12025451660156,-69.9501739501953,-285.00953369140626,0.5017093634183952,-0.4629387849388006,0.47199135823250377,-0.5578526273233206,0.8638105392456055,-67.00682678222657,-48.02541275024414,-234.31622314453125,-0.024511361515816732,0.7212320342334859,0.6922597387917837,0.0,0.0
-11.530776111662764,-11.959596474431796,-13.369069976551591,0.3570259316505993,0.0151729082322403,0.0420266089906188,-12.012648,-12.958188,-14.482274,0.866546,0.352497,0.267827,81.01717681884766,-69.93360137939453,-285.0139587402344,0.4985551647696519,-0.4637025251450906,0.4729054097262642,-0.5592702292337811,0.8881046175956726,-41.85001678466797,-37.21269912719727,-252.88375854492188,0.5500424230784356,0.641297980787293,0.5349675061647612,0.0,0.0
-11.5581368605059,-14.924220174646624,-20.888923474305557,2.444242395848389,0.5993861044104093,0.0776567569897956,-11.846314,-14.105261,-19.97302,2.110282,0.436291,0.179639,81.02707977294922,-69.9266372680664,-285.0392150878906,0.4992897760390785,-0.46810567937417147,0.4698299800791004,-0.5575361712923785,0.889046311378479,-53.8351547241211,-40.74106903076172,-244.18104858398436,0.5329316520643957,0.7056479667298674,0.4669526756298949,0.0,0.0
