beta1,beta2,beta3,alpha1,alpha2,alpha3,actual_beta1,actual_beta2,actual_beta3,actual_alpha1,actual_alpha2,actual_alpha3,x1,y1,z1,q01,qx1,qy1,qz1,error1,x2,y2,z2,q02,qx2,qy2,qz2,error2
-14.83245397313843,-20.082412422144987,-24.919671374033612,3.302954623903297,1.4579251963843725,0.24267338484120243,,,,,,,,,,,,,,,,,,,,,,
-14.021073231648222,-20.20559450385495,-23.039615181928614,0.21314488546005916,0.24258355068538207,1.5490587719591966,,,,,,,,,,,,,,,,,,,,,,
-14.836011170311826,-20.776034683144466,-24.947184043495362,1.431996747351205,5.405535084755742,0.01777141583837221,,,,,,,,,,,,,,,,,,,,,,
-14.788092344582916,-18.60848128951728,-24.533078889479,1.9401342315470544,1.1793803543402475,0.9445505134237309,,,,,,,,,,,,,,,,,,,,,,
-14.847740602759902,-20.883598496612954,-25.698330096703998,5.602020973865106,1.605259726925971,0.7364505656273276,,,,,,,,,,,,,,,,,,,,,,
-14.955000201699754,-20.527914512546797,-24.904552423454202,1.02900302672132,6.410459665350733,0.27992174340395787,,,,,,,,,,,,,,,,,,,,,,
-14.704177188620358,-20.62343386841713,-24.304113236162078,2.9837067442858918,4.314675769471035,0.18719074847046505,,,,,,,,,,,,,,,,,,,,,,
-14.485840380264474,-20.68560277042343,-24.356121808231986,0.3118760355823084,5.728051399820253,0.7970435054769442,,,,,,,,,,,,,,,,,,,,,,
-12.654511223054138,-19.102733411140296,-22.94086999768875,0.8376323531620582,1.0500861427170738,0.6021648053745388,,,,,,,,,,,,,,,,,,,,,,
-14.835132327133776,-18.95207024690773,-23.082420451982742,1.9015206224300816,0.9522892056716881,1.2876245219914242,,,,,,,,,,,,,,,,,,,,,,
-14.83245397313843,-20.082412422144987,-24.919671374033612,3.302954623903297,1.4579251963843725,0.24267338484120243,,,,,,,,,,,,,,,,,,,,,,
-14.021073231648222,-20.20559450385495,-23.039615181928614,0.21314488546005916,0.24258355068538207,1.5490587719591966,,,,,,,,,,,,,,,,,,,,,,
-14.836011170311826,-20.776034683144466,-24.947184043495362,1.431996747351205,5.405535084755742,0.01777141583837221,,,,,,,,,,,,,,,,,,,,,,
-14.788092344582916,-18.60848128951728,-24.533078889479,1.9401342315470544,1.1793803543402475,0.9445505134237309,,,,,,,,,,,,,,,,,,,,,,
-14.847740602759902,-20.883598496612954,-25.698330096703998,5.602020973865106,1.605259726925971,0.7364505656273276,,,,,,,,,,,,,,,,,,,,,,
-14.955000201699754,-20.527914512546797,-24.904552423454202,1.02900302672132,6.410459665350733,0.27992174340395787,,,,,,,,,,,,,,,,,,,,,,
-14.704177188620358,-20.62343386841713,-24.304113236162078,2.9837067442858918,4.314675769471035,0.18719074847046505,,,,,,,,,,,,,,,,,,,,,,
-14.485840380264474,-20.68560277042343,-24.356121808231986,0.3118760355823084,5.728051399820253,0.7970435054769442,,,,,,,,,,,,,,,,,,,,,,
-12.654511223054138,-19.102733411140296,-22.94086999768875,0.8376323531620582,1.0500861427170738,0.6021648053745388,,,,,,,,,,,,,,,,,,,,,,
-14.835132327133776,-18.95207024690773,-23.082420451982742,1.9015206224300816,0.9522892056716881,1.2876245219914242,,,,,,,,,,,,,,,,,,,,,,
-14.83245397313843,-20.082412422144987,-24.919671374033612,3.302954623903297,1.4579251963843725,0.24267338484120243,,,,,,,,,,,,,,,,,,,,,,
-14.021073231648222,-20.20559450385495,-23.039615181928614,0.21314488546005916,0.24258355068538207,1.5490587719591966,,,,,,,,,,,,,,,,,,,,,,
-14.836011170311826,-20.776034683144466,-24.947184043495362,1.431996747351205,5.405535084755742,0.01777141583837221,,,,,,,,,,,,,,,,,,,,,,
-14.788092344582916,-18.60848128951728,-24.533078889479,1.9401342315470544,1.1793803543402475,0.9445505134237309,,,,,,,,,,,,,,,,,,,,,,
-14.847740602759902,-20.883598496612954,-25.698330096703998,5.602020973865106,1.605259726925971,0.7364505656273276,,,,,,,,,,,,,,,,,,,,,,
-14.955000201699754,-20.527914512546797,-24.904552423454202,1.02900302672132,6.410459665350733,0.27992174340395787,,,,,,,,,,,,,,,,,,,,,,
-14.704177188620358,-20.62343386841713,-24.304113236162078,2.9837067442858918,4.314675769471035,0.18719074847046505,,,,,,,,,,,,,,,,,,,,,,
-14.485840380264474,-20.68560277042343,-24.356121808231986,0.3118760355823084,5.728051399820253,0.7970435054769442,,,,,,,,,,,,,,,,,,,,,,
-12.654511223054138,-19.102733411140296,-22.94086999768875,0.8376323531620582,1.0500861427170738,0.6021648053745388,,,,,,,,,,,,,,,,,,,,,,
-14.835132327133776,-18.95207024690773,-23.082420451982742,1.9015206224300816,0.9522892056716881,1.2876245219914242,,,,,,,,,,,,,,,,,,,,,,
-14.83245397313843,-20.082412422144987,-24.919671374033612,3.302954623903297,1.4579251963843725,0.24267338484120243,,,,,,,,,,,,,,,,,,,,,,
-14.021073231648222,-20.20559450385495,-23.039615181928614,0.21314488546005916,0.24258355068538207,1.5490587719591966,,,,,,,,,,,,,,,,,,,,,,
