beta1,beta2,beta3,alpha1,alpha2,alpha3,actual_beta1,actual_beta2,actual_beta3,actual_alpha1,actual_alpha2,actual_alpha3,x1,y1,z1,q01,qx1,qy1,qz1,error1,x2,y2,z2,q02,qx2,qy2,qz2,error2
-15.0,-21.5,-27.5,0.0,0.0,0.0,-14.529934,-20.749673,-26.94445,-0.004979,-0.088444,0.083748,124.16802825927735,-42.99876098632812,-284.82432250976564,0.5030403095448238,-0.5054799019015787,0.47694962642883115,-0.513769957856643,0.22346441447734833,-17.40864791870117,-5.9587338924407955,-226.21417236328125,0.5028868304019436,0.7587852483127673,0.4139441783033297,0.0,0.0
-15.0,-21.5,-27.5,0.0,0.0,0.5129130863003744,-14.623457,-20.912554,-27.116119,-0.004352,-0.08813,0.265944,124.11042938232421,-42.923220825195315,-284.7989868164062,0.5035916257604893,-0.5073360536118854,0.47542079273350024,-0.5128164125747885,0.20580998063087463,-32.42233581542969,-7.446428966522217,-213.38717346191407,0.45255633670028383,0.7848628427837899,0.4233002245803414,0.0,0.0
-15.0,-21.5,-27.5,0.0,0.0,1.0258261726007487,-14.63099,-20.994466,-27.199599,-0.004038,-0.087817,0.798839,124.06866302490235,-42.92343368530273,-284.7501220703125,0.5027484175834519,-0.5074604162858121,0.4763305247793097,-0.512676492228611,0.20858216285705566,-31.8418025970459,-8.024064445495606,-212.13009643554688,0.48126362890844576,0.7987353577076983,0.36111929862225406,0.0,0.0
-15.0,-21.5,-27.5,0.0,0.0,1.538739258901123,-14.629107,-21.015807,-27.207132,-0.003724,-0.088131,1.242291,124.12556304931641,-42.911503601074216,-284.78777465820315,0.5014217626094682,-0.5069362162223675,0.47711958083439343,-0.5137594712004594,0.21345017850399017,-30.749906921386717,-8.827363777160645,-210.88190307617188,0.5087076125946991,0.8144201984462346,0.2791707456933796,0.0,0.0
-15.0,-21.5,-27.5,0.0,0.0,2.0516523452014974,-14.629107,-21.015179,-27.208386,-0.00341,-0.088131,1.770792,124.14343566894532,-42.94310531616211,-284.71477661132815,0.5035931115619064,-0.5077586332397184,0.4755394698705051,-0.5122864052004598,0.21320560574531555,-29.69440803527832,-9.860579681396484,-209.87913818359374,0.4141428958634489,0.8570019948853661,0.3066484021943362,0.0,0.0
-15.0,-21.5,-27.5,0.0,0.0,2.564565431501872,-14.646538,-21.089558,-27.209641,-0.00341,-0.08813,2.28674,124.12764434814453,-42.90177993774414,-284.6450134277344,0.5016379647697824,-0.5063747306743536,0.4771517281527854,-0.5140721863288432,0.21015529334545135,-28.5701171875,-11.131194305419921,-208.8701965332031,0.3481739207939973,0.8889857586341047,0.2974546046452817,0.0,0.0
-15.0,-21.5,-27.5,0.0,0.0,3.077478517802246,-14.63915,-21.106506,-27.208701,-0.003096,-0.088131,2.805513,124.22419128417968,-42.94102096557617,-284.7301391601562,0.5032393966849241,-0.507430899003061,0.47553047800581655,-0.5129666235231084,0.21174505352973938,-27.43569221496582,-12.71145191192627,-207.84443359375,0.32925867957128924,0.9122348437819949,0.24375461373481785,0.0,0.0
-15.0,-21.5,-27.5,0.0,0.0,3.5903916041026207,-14.698007,-21.106819,-27.209641,-0.002782,-0.08813,3.315498,124.09271392822265,-42.90297088623047,-284.73994140625,0.5019537132830008,-0.5070584465613718,0.47586500333431564,-0.5142827044474735,0.2060060352087021,-26.369791793823243,-14.163175773620605,-206.8843994140625,0.3030449803290534,0.9320730870669949,0.19850314925150694,0.0,0.0
-15.0,-21.5,-27.5,0.0,0.0,4.103304690402995,-14.719035,-21.175236,-27.211526,-0.002469,-0.087817,3.832386,124.18637237548828,-42.90651321411133,-284.6836853027344,0.5039047736557531,-0.5091875411083623,0.47315194619431616,-0.5127721354359018,0.2096131592988968,-25.360518646240234,-16.01222972869873,-206.02304382324218,0.2819210535075494,0.9480378909189348,0.1474607641753274,0.0,0.0
-15.0,-21.5,-27.5,0.0,0.0,4.616217776703369,-14.723429,-21.187476,-27.211839,-0.002155,-0.088444,4.344255,124.12980041503906,-42.90235061645508,-284.6562561035156,0.509162438513434,-0.5137206832158592,0.46822752915707827,-0.5075506396240101,0.21117782592773438,-24.411666870117188,-17.98914566040039,-205.13295288085936,0.2678314746357793,0.9596994468504562,0.08510741982549044,0.0,0.0
